ID,PARAM,Date,year,month,day,Value
00XX000,2,2010/08/25,2010,8,25, 1.91
00XX000,2,2010/08/26,2010,8,26, 2.03
00XX000,2,2010/08/27,2010,8,27, 2.73
00XX000,2,2010/08/28,2010,8,28, 2.01
00XX000,2,2010/08/29,2010,8,29, 1.62
00XX000,2,2010/08/30,2010,8,30, 1.43
00XX000,2,2010/08/31,2010,8,31, 1.59
00XX000,2,2010/09/01,2010,9,1, 1.86
00XX000,2,2010/09/02,2010,9,2, 1.63
00XX000,2,2010/09/03,2010,9,3, 1.56
00XX000,2,2010/09/04,2010,9,4, 1.53
00XX000,2,2010/09/05,2010,9,5, 1.48
00XX000,2,2010/09/06,2010,9,6, 1.47
00XX000,2,2010/09/07,2010,9,7,  1.4
00XX000,2,2010/09/08,2010,9,8, 1.37
00XX000,2,2010/09/09,2010,9,9,  1.3
00XX000,2,2010/09/10,2010,9,10, 1.41
00XX000,2,2010/09/11,2010,9,11, 1.54
00XX000,2,2010/09/12,2010,9,12, 3.21
00XX000,2,2010/09/13,2010,9,13, 2.81
00XX000,2,2010/09/14,2010,9,14, 2.04
00XX000,2,2010/09/15,2010,9,15, 1.81
00XX000,2,2010/09/16,2010,9,16, 1.84
00XX000,2,2010/09/17,2010,9,17,  1.7
00XX000,2,2010/09/18,2010,9,18, 1.93
00XX000,2,2010/09/19,2010,9,19, 4.61
00XX000,2,2010/09/20,2010,9,20, 6.88
00XX000,2,2010/09/21,2010,9,21, 4.37
00XX000,2,2010/09/22,2010,9,22, 2.78
00XX000,2,2010/09/23,2010,9,23, 2.53
00XX000,2,2010/09/24,2010,9,24, 3.76
00XX000,2,2010/09/25,2010,9,25, 3.22
00XX000,2,2010/09/26,2010,9,26, 7.04
00XX000,2,2010/09/27,2010,9,27, 5.92
00XX000,2,2010/09/28,2010,9,28, 7.16
00XX000,2,2010/09/29,2010,9,29, 4.28
00XX000,2,2010/09/30,2010,9,30, 3.11
00XX000,2,2010/10/01,2010,10,1, 2.56
00XX000,2,2010/10/02,2010,10,2, 2.21
00XX000,2,2010/10/03,2010,10,3, 1.91
00XX000,2,2010/10/04,2010,10,4,  1.7
00XX000,2,2010/10/05,2010,10,5, 1.52
00XX000,2,2010/10/06,2010,10,6,  1.4
00XX000,2,2010/10/07,2010,10,7, 1.29
00XX000,2,2010/10/08,2010,10,8, 1.32
00XX000,2,2010/10/09,2010,10,9, 3.75
00XX000,2,2010/10/10,2010,10,10, 7.03
00XX000,2,2010/10/11,2010,10,11, 3.48
00XX000,2,2010/10/12,2010,10,12, 2.82
00XX000,2,2010/10/13,2010,10,13, 2.32
00XX000,2,2010/10/14,2010,10,14, 1.98
00XX000,2,2010/10/15,2010,10,15, 1.75
00XX000,2,2010/10/16,2010,10,16, 1.58
00XX000,2,2010/10/17,2010,10,17, 1.45
00XX000,2,2010/10/18,2010,10,18, 1.33
00XX000,2,2010/10/19,2010,10,19, 1.26
00XX000,2,2010/10/20,2010,10,20, 1.16
00XX000,2,2010/10/21,2010,10,21, 1.08
00XX000,2,2010/10/22,2010,10,22, 2.04
00XX000,2,2010/10/23,2010,10,23, 1.91
00XX000,2,2010/10/24,2010,10,24, 5.58
00XX000,2,2010/10/25,2010,10,25,  4.2
00XX000,2,2010/10/26,2010,10,26, 3.85
00XX000,2,2010/10/27,2010,10,27, 2.96
00XX000,2,2010/10/28,2010,10,28, 2.57
00XX000,2,2010/10/29,2010,10,29, 2.58
00XX000,2,2010/10/30,2010,10,30, 2.36
00XX000,2,2010/10/31,2010,10,31, 3.59
00XX000,2,2010/11/01,2010,11,1, 7.01
00XX000,2,2010/11/02,2010,11,2,  6.2
00XX000,2,2010/11/03,2010,11,3, 4.07
00XX000,2,2010/11/04,2010,11,4, 3.53
00XX000,2,2010/11/05,2010,11,5, 3.76
00XX000,2,2010/11/06,2010,11,6,  3.5
00XX000,2,2010/11/07,2010,11,7, 5.59
00XX000,2,2010/11/08,2010,11,8, 3.64
00XX000,2,2010/11/09,2010,11,9, 2.97
00XX000,2,2010/11/10,2010,11,10, 2.54
00XX000,2,2010/11/11,2010,11,11, 2.23
00XX000,2,2010/11/12,2010,11,12, 2.01
00XX000,2,2010/11/13,2010,11,13, 1.85
00XX000,2,2010/11/14,2010,11,14, 1.75
00XX000,2,2010/11/15,2010,11,15, 2.06
00XX000,2,2010/11/16,2010,11,16, 3.48
00XX000,2,2010/11/17,2010,11,17, 2.81
00XX000,2,2010/11/18,2010,11,18, 2.51
00XX000,2,2010/11/19,2010,11,19, 2.13
00XX000,2,2010/11/20,2010,11,20,  1.2
00XX000,2,2010/11/21,2010,11,21,0.806
00XX000,2,2010/11/22,2010,11,22, 1.68
00XX000,2,2010/11/23,2010,11,23, 3.46
00XX000,2,2010/11/24,2010,11,24,  2.7
00XX000,2,2010/11/25,2010,11,25, 1.45
00XX000,2,2010/11/26,2010,11,26, 1.09
00XX000,2,2010/11/27,2010,11,27, 1.18
00XX000,2,2010/11/28,2010,11,28, 1.08
00XX000,2,2010/11/29,2010,11,29, 1.01
00XX000,2,2010/11/30,2010,11,30, 1.09
00XX000,2,2010/12/01,2010,12,1, 1.14
00XX000,2,2010/12/02,2010,12,2, 1.06
00XX000,2,2010/12/03,2010,12,3,0.987
00XX000,2,2010/12/04,2010,12,4,0.931
00XX000,2,2010/12/05,2010,12,5, 0.69
00XX000,2,2010/12/06,2010,12,6,0.893
00XX000,2,2010/12/07,2010,12,7, 1.07
00XX000,2,2010/12/08,2010,12,8, 3.28
00XX000,2,2010/12/09,2010,12,9, 3.42
00XX000,2,2010/12/10,2010,12,10, 2.45
00XX000,2,2010/12/11,2010,12,11, 1.89
00XX000,2,2010/12/12,2010,12,12, 4.94
00XX000,2,2010/12/13,2010,12,13, 5.13
00XX000,2,2010/12/14,2010,12,14, 4.04
00XX000,2,2010/12/15,2010,12,15, 3.08
00XX000,2,2010/12/16,2010,12,16, 2.47
00XX000,2,2010/12/17,2010,12,17, 2.03
00XX000,2,2010/12/18,2010,12,18, 1.77
00XX000,2,2010/12/19,2010,12,19, 1.57
00XX000,2,2010/12/20,2010,12,20, 1.42
00XX000,2,2010/12/21,2010,12,21, 1.32
00XX000,2,2010/12/22,2010,12,22, 1.28
00XX000,2,2010/12/23,2010,12,23, 1.34
00XX000,2,2010/12/24,2010,12,24, 2.66
00XX000,2,2010/12/25,2010,12,25, 4.79
00XX000,2,2010/12/26,2010,12,26,  3.7
00XX000,2,2010/12/27,2010,12,27, 2.85
00XX000,2,2010/12/28,2010,12,28, 2.27
00XX000,2,2010/12/29,2010,12,29, 1.88
00XX000,2,2010/12/30,2010,12,30, 1.72
00XX000,2,2010/12/31,2010,12,31, 1.85
00XX000,2,2011/01/01,2011,1,1, 1.37
00XX000,2,2011/01/02,2011,1,2, 1.43
00XX000,2,2011/01/03,2011,1,3,  1.1
00XX000,2,2011/01/04,2011,1,4,0.925
00XX000,2,2011/01/05,2011,1,5,0.925
00XX000,2,2011/01/06,2011,1,6, 1.01
00XX000,2,2011/01/07,2011,1,7, 1.56
00XX000,2,2011/01/08,2011,1,8, 1.57
00XX000,2,2011/01/09,2011,1,9, 1.05
00XX000,2,2011/01/10,2011,1,10,0.953
00XX000,2,2011/01/11,2011,1,11,0.304
00XX000,2,2011/01/12,2011,1,12,0.389
00XX000,2,2011/01/13,2011,1,13, 1.13
00XX000,2,2011/01/14,2011,1,14, 3.27
00XX000,2,2011/01/15,2011,1,15, 4.84
00XX000,2,2011/01/16,2011,1,16, 5.72
00XX000,2,2011/01/17,2011,1,17, 6.55
00XX000,2,2011/01/18,2011,1,18, 4.51
00XX000,2,2011/01/19,2011,1,19, 3.32
00XX000,2,2011/01/20,2011,1,20, 2.69
00XX000,2,2011/01/21,2011,1,21, 2.27
00XX000,2,2011/01/22,2011,1,22, 1.96
00XX000,2,2011/01/23,2011,1,23, 1.72
00XX000,2,2011/01/24,2011,1,24, 1.58
00XX000,2,2011/01/25,2011,1,25, 1.54
00XX000,2,2011/01/26,2011,1,26, 1.57
00XX000,2,2011/01/27,2011,1,27, 1.65
00XX000,2,2011/01/28,2011,1,28, 1.64
00XX000,2,2011/01/29,2011,1,29, 1.77
00XX000,2,2011/01/30,2011,1,30, 1.61
00XX000,2,2011/01/31,2011,1,31, 0.88
00XX000,2,2011/02/01,2011,2,1,0.884
00XX000,2,2011/02/02,2011,2,2, 1.04
00XX000,2,2011/02/03,2011,2,3, 1.15
00XX000,2,2011/02/04,2011,2,4, 1.27
00XX000,2,2011/02/05,2011,2,5,  1.5
00XX000,2,2011/02/06,2011,2,6, 1.43
00XX000,2,2011/02/07,2011,2,7, 1.56
00XX000,2,2011/02/08,2011,2,8, 1.49
00XX000,2,2011/02/09,2011,2,9, 1.33
00XX000,2,2011/02/10,2011,2,10, 1.21
00XX000,2,2011/02/11,2011,2,11, 1.15
00XX000,2,2011/02/12,2011,2,12, 1.42
00XX000,2,2011/02/13,2011,2,13, 1.65
00XX000,2,2011/02/14,2011,2,14, 1.89
00XX000,2,2011/02/15,2011,2,15, 2.24
00XX000,2,2011/02/16,2011,2,16, 1.57
00XX000,2,2011/02/17,2011,2,17, 1.33
00XX000,2,2011/02/18,2011,2,18, 1.15
00XX000,2,2011/02/19,2011,2,19,0.974
00XX000,2,2011/02/20,2011,2,20,0.882
00XX000,2,2011/02/21,2011,2,21,0.808
00XX000,2,2011/02/22,2011,2,22,0.767
00XX000,2,2011/02/23,2011,2,23,0.699
00XX000,2,2011/02/24,2011,2,24,0.628
00XX000,2,2011/02/25,2011,2,25,0.842
00XX000,2,2011/02/26,2011,2,26,0.734
00XX000,2,2011/02/27,2011,2,27,0.563
00XX000,2,2011/02/28,2011,2,28,0.575
00XX000,2,2011/03/01,2011,3,1,0.537
00XX000,2,2011/03/02,2011,3,2,0.611
00XX000,2,2011/03/03,2011,3,3,0.619
00XX000,2,2011/03/04,2011,3,4,0.578
00XX000,2,2011/03/05,2011,3,5,0.579
00XX000,2,2011/03/06,2011,3,6,0.542
00XX000,2,2011/03/07,2011,3,7, 0.51
00XX000,2,2011/03/08,2011,3,8,0.494
00XX000,2,2011/03/09,2011,3,9,0.597
00XX000,2,2011/03/10,2011,3,10, 1.22
00XX000,2,2011/03/11,2011,3,11, 1.38
00XX000,2,2011/03/12,2011,3,12, 1.43
00XX000,2,2011/03/13,2011,3,13, 1.84
00XX000,2,2011/03/14,2011,3,14, 2.98
00XX000,2,2011/03/15,2011,3,15, 2.83
00XX000,2,2011/03/16,2011,3,16, 2.84
00XX000,2,2011/03/17,2011,3,17, 1.98
00XX000,2,2011/03/18,2011,3,18, 1.52
00XX000,2,2011/03/19,2011,3,19,  1.3
00XX000,2,2011/03/20,2011,3,20, 1.14
00XX000,2,2011/03/21,2011,3,21,  1.1
00XX000,2,2011/03/22,2011,3,22, 1.18
00XX000,2,2011/03/23,2011,3,23, 1.13
00XX000,2,2011/03/24,2011,3,24, 1.05
00XX000,2,2011/03/25,2011,3,25, 1.08
00XX000,2,2011/03/26,2011,3,26, 1.13
00XX000,2,2011/03/27,2011,3,27, 1.12
00XX000,2,2011/03/28,2011,3,28, 1.19
00XX000,2,2011/03/29,2011,3,29, 1.36
00XX000,2,2011/03/30,2011,3,30, 1.69
00XX000,2,2011/03/31,2011,3,31, 3.12
00XX000,2,2011/04/01,2011,4,1, 2.98
00XX000,2,2011/04/02,2011,4,2, 2.43
00XX000,2,2011/04/03,2011,4,3, 2.05
00XX000,2,2011/04/04,2011,4,4, 1.79
00XX000,2,2011/04/05,2011,4,5, 1.64
00XX000,2,2011/04/06,2011,4,6, 1.53
