Time (s),ECT (uS/cm),Temperature (C)
1,257,76.8
2,257,76.8
3,257,76.8
4,257,76.8
5,257,76.8
6,257,76.8
7,257,76.8
8,257,76.8
9,257,76.8
10,257,76.8
11,257,76.8
12,257,76.8
13,257,76.8
14,257,76.8
15,257,76.8
16,257,76.8
17,257,76.8
18,257,76.8
19,257,76.8
20,257,76.8
21,257,76.8
22,257,76.8
23,257,76.8
24,257,76.8
25,257,76.8
26,257,76.8
27,257,76.8
28,257,76.8
29,257,76.8
30,257,76.8
31,257,76.8
32,257,76.8
33,257,76.8
34,257,76.8
35,257,76.8
36,257,76.8
37,257,76.8
38,257,76.8
39,257,76.8
40,257,76.8
41,257,76.8
42,257,76.8
43,257,76.8
44,257,76.8
45,257,76.8
46,257,76.8
47,257,76.8
48,257,76.8
49,257,76.8
50,257,76.8
51,257,76.8
52,257,76.8
53,257,76.8
54,257,76.8
55,257,76.8
56,257,76.7
57,257,76.8
58,257,76.7
59,257,76.7
60,257,76.8
61,257,76.7
62,257,76.7
63,257,76.8
64,257,76.7
65,257,76.7
66,257,76.8
67,257,76.7
68,257,76.7
69,257,76.7
70,257,76.7
71,257,76.7
72,257,76.7
73,257,76.7
74,257,76.7
75,257,76.7
76,257,76.7
77,257,76.7
78,257,76.7
79,257,76.7
80,257,76.7
81,257,76.7
82,257,76.7
83,257,76.7
84,257,76.7
85,257,76.7
86,257,76.7
87,257,76.7
88,257,76.7
89,257,76.7
90,257,76.7
91,257,76.7
92,257,76.7
93,257,76.7
94,257,76.7
95,257,76.7
96,257,76.7
97,257,76.7
98,257,76.7
99,257,76.7
100,257,76.7
101,257,76.7
102,257,76.8
103,257,76.7
104,257,76.7
105,257,76.7
106,257,76.7
107,257,76.7
108,257,76.7
109,257,76.7
110,257,76.7
111,257,76.7
112,257,76.7
113,257,76.7
114,257,76.7
115,257,76.7
116,257,76.7
117,257,76.7
118,257,76.7
119,257,76.7
120,257,76.7
121,257,76.7
122,257,76.7
123,257,76.7
124,257,76.7
125,257,76.7
126,257,76.7
127,257,76.7
128,257,76.7
129,257,76.7
130,257,76.7
131,257,76.7
132,257,76.7
133,257,76.7
134,257,76.7
135,257,76.7
136,257,76.7
137,257,76.7
138,257,76.7
139,257,76.7
140,257,76.7
141,257,76.7
142,257,76.7
143,257,76.7
144,257,76.7
145,257,76.7
146,258,76.7
