Time (s),ECT (uS/cm),Temperature (C)
1,287,5.9
2,287,5.9
3,287,5.9
4,287,5.9
5,287,5.9
6,287,5.9
7,287,5.9
8,287,5.9
9,287,5.9
10,287,5.9
11,287,5.9
12,287,5.9
13,287,5.9
14,287,5.9
15,287,5.9
16,287,5.9
17,287,5.9
18,287,5.9
19,287,5.9
20,287,5.9
21,287,5.9
22,287,5.9
23,287,5.9
24,287,5.9
25,287,5.9
26,287,5.9
27,287,5.9
28,287,5.9
29,287,5.9
30,287,5.9
31,287,5.9
32,287,5.9
33,287,5.9
34,287,5.9
35,287,5.9
36,287,5.9
37,287,5.9
38,287,5.9
39,287,5.9
40,287,5.9
41,287,5.9
42,287,5.9
43,287,5.9
44,287,5.9
45,287,5.9
46,287,5.9
47,287,5.9
48,287,5.9
49,287,5.9
50,287,5.9
51,287,5.9
52,287,5.9
53,287,5.9
54,287,5.9
55,287,5.9
56,287,5.9
57,287,5.9
58,287,5.9
59,287,5.9
60,287,5.9
61,287,5.9
62,287,5.9
63,287,5.9
64,287,5.9
65,287,5.9
66,287,5.9
67,287,5.9
68,287,6
69,287,6
70,287,6
71,287,6
72,287,5.9
73,287,6
74,287,6
75,287,5.9
76,287,5.9
77,287,5.9
78,287,5.9
79,287,5.9
80,287,5.9
81,287,5.9
82,287,5.9
83,287,5.9
84,287,6
85,287,6
86,287,6
87,287,6
88,287,6
89,287,5.9
90,287,5.9
91,287,5.9
92,287,5.9
93,287,5.9
94,287,6
95,287,5.9
96,287,5.9
97,287,5.9
98,287,5.9
99,287,5.9
100,287,5.9
101,287,5.9
102,287,5.9
103,287,6
104,287,5.9
105,287,6
106,287,6
107,287,5.9
108,287,5.9
109,287,5.9
110,288,5.9
111,287,5.9
112,287,5.9
113,287,5.9
114,287,5.9
115,287,5.9
116,287,5.9
117,287,5.9
118,287,6
119,287,5.9
120,287,5.9
121,287,5.9
122,287,5.9
123,287,5.9
124,287,5.9
125,287,5.9
126,287,5.9
127,287,5.9
128,287,5.9
129,287,5.9
130,287,5.9
131,288,5.9
132,288,5.9
133,288,5.9
134,288,5.9
135,288,5.9
136,288,5.9
137,287,5.9
138,287,6
139,287,5.9
140,288,5.8
141,288,5.8
142,288,5.9
143,288,5.8
144,288,5.9
145,287,5.9
146,287,5.9
147,287,6
148,287,5.9
149,287,6
150,287,6
151,287,6
152,287,6
153,287,6
154,287,6
155,287,5.9
156,287,5.9
157,287,5.9
158,287,6
159,287,6
160,287,6
161,287,6
162,287,6
163,287,6
164,287,6
165,287,5.9
166,288,5.9
167,288,5.9
168,288,5.9
169,288,5.9
170,288,5.9
171,288,5.9
172,288,5.9
173,288,5.9
174,289,5.9
175,290,6
176,290,6
177,292,6
178,292,6
179,292,6
180,295,6
181,296,6
182,298,6
183,298,6
184,300,6
185,304,5.9
186,306,5.9
187,309,5.9
188,309,5.9
189,312,5.9
190,318,5.9
191,322,5.9
192,326,5.9
193,326,5.9
194,329,6
195,336,6
196,340,6
197,343,6
198,343,6
199,347,6
200,354,6
201,359,6
202,362,5.9
203,367,5.9
204,367,5.9
205,373,5.9
206,376,5.9
207,380,5.9
208,380,6
209,382,6
210,389,6
211,392,6
212,395,6
213,395,5.9
214,398,5.9
215,401,5.9
216,402,5.9
217,402,5.9
218,402,6
219,404,6
220,405,6
221,406,6
222,406,6
223,406,6
224,407,6
225,407,6
226,407,6
227,407,6
228,407,6
229,408,6
230,407,6
231,407,6
232,407,6
233,407,5.9
234,407,6
235,406,5.9
236,404,5.9
237,404,5.9
238,403,5.9
239,403,5.9
240,402,5.9
241,399,5.9
242,397,5.9
243,396,6
244,396,6
245,395,6
246,393,6
247,392,6
248,391,6
249,390,6
250,390,6
251,389,6
252,387,5.9
253,386,5.9
254,384,5.9
255,384,5.9
256,383,5.9
257,382,6
258,380,6
259,378,6
260,378,6
261,378,6
262,376,6
263,374,6
264,373,6
265,372,6
266,372,6
267,371,6
268,371,6
269,369,6
270,368,6
271,368,6
272,367,6
273,366,6
274,363,6
275,362,6
276,361,6
277,361,6
278,360,6
279,359,6
280,357,6
281,355,6
282,355,6
283,354,6
284,354,6
285,353,6
286,352,6
287,350,6
288,350,6
289,349,6
290,349,6
291,348,6
292,347,6
293,346,6
294,346,6
295,344,6
296,344,6
297,344,6
298,342,6
299,341,6
300,340,6
301,339,6
302,338,6
303,338,6
304,338,6
305,336,6
306,335,6
307,335,6
308,334,6
309,334,6
310,333,6
311,331,6
312,331,6
313,331,6
314,330,6
315,330,6
316,329,6
317,329,6
318,327,6
319,326,6
320,326,6
321,325,6
322,325,6
323,325,6
324,323,6
325,323,6
326,322,6
327,322,6
328,322,6
329,321,6
330,320,6
331,320,6
332,319,6
333,318,6
334,318,6
335,318,6
336,316,6
337,316,6
338,316,6
339,315,6
340,315,6
341,314,6
342,314,6
343,313,6
344,312,6
345,312,6
346,312,6
347,312,6
348,312,6
349,311,6
350,310,6
351,310,6
352,310,6
353,310,6
354,310,6
355,309,6
356,308,6
357,308,6
358,308,6
359,308,6
360,307,6
361,307,6
362,306,6
363,306,6
364,306,6
365,306,6
366,305,6
367,305,6
368,304,6
369,304,6
370,304,6
371,303,6
372,303,6
373,303,6
374,303,6
375,303,6
376,302,6
377,302,6
378,302,6
379,302,6
380,301,6
381,301,6
382,301,6
383,301,6
384,300,6
385,300,6
386,300,6
387,299,6
388,299,6
389,0,6
390,0,6
391,0,6
392,299,6
393,298,6
394,298,6
395,298,6
396,298,6
397,298,6
398,298,6
399,297,6
400,297,6
401,0,6
402,0,6
403,0,6
404,0,6
405,0,6
406,297,6
407,296,6
408,296,6
409,296,6
410,296,6
411,295,6
412,295,6
413,295,6
414,295,6
415,295,6
416,295,6
417,295,6
418,295,6
419,295,6
420,295,6
421,294,6
422,294,6
423,294,6
424,293,6
425,293,6
426,293,6
427,293,6
428,293,6
429,293,6
430,293,6
431,293,6
432,293,6
433,293,6
434,293,6
435,293,6
436,293,6
437,292,6
438,292,6
439,292,6
440,292,6
441,292,6
442,292,6
443,292,6
444,292,6
445,292,6
446,292,6
447,291,6
448,291,6
449,291,6
450,291,6
451,291,6
452,291,6
453,291,6
454,291,6
455,291,6
456,291,6
457,291,6
458,291,6
459,291,6
460,291,6
461,291,6
462,291,6
463,291,6
464,291,6
465,291,6
466,291,6
467,290,6
468,290,6
469,290,6
470,290,6
471,290,6
472,290,6
473,290,6
474,290,6
475,289,6
476,289,6
477,289,6
478,289,6
479,290,6
480,289,6
481,289,6
482,289,6
483,289,6
484,289,6
485,289,6
486,289,6
487,289,6
488,289,6
489,290,6
490,289,6
491,289,6
492,289,6
493,289,6
494,289,6.1
495,290,6.1
496,289,6.1
497,289,6.1
498,289,6.1
499,289,6.1
500,289,6.1
501,289,6.1
502,289,6.1
503,289,6.1
504,289,6.1
505,289,6.1
506,289,6.1
507,289,6
508,289,6
509,289,6
510,289,6.1
511,289,6
512,289,6
513,289,6
514,288,6.1
515,288,6.1
516,288,6.1
517,288,6.1
518,288,6.1
519,289,6.1
520,289,6
521,288,6.1
522,288,6.1
523,288,6.1
524,288,6.1
525,288,6.1
526,288,6.1
527,288,6.1
528,288,6.1
529,288,6.1
530,288,6.1
531,288,6.1
532,288,6.1
533,288,6.1
534,288,6.1
535,288,6.1
536,288,6.1
537,288,6.1
538,288,6.1
539,288,6.1
540,288,6.1
541,288,6.1
542,288,6.1
543,288,6.1
544,288,6.1
545,288,6.1
546,288,6.1
547,288,6.1
548,288,6.1
549,288,6.1
550,288,6.1
551,288,6.1
552,288,6.1
553,288,6.1
554,288,6.1
555,288,6.1
556,288,6.1
557,288,6.1
558,288,6.1
559,288,6.1
560,288,6.1
561,287,6.1
562,287,6.1
563,288,6.1
564,288,6.1
565,288,6.1
566,287,6.1
567,287,6.1
568,288,6.1
569,287,6.1
570,287,6.1
571,288,6.1
572,287,6.1
573,287,6.1
574,288,6.1
575,288,6.1
576,287,6.1
577,287,6.1
578,288,6.1
579,287,6.1
580,287,6.1
