Time (s),ECT (uS/cm),Temperature (C)
1,304,5.4
2,304,5.4
3,303,5.5
4,302,5.5
5,303,5.5
6,302,5.5
7,302,5.5
8,302,5.5
9,302,5.5
10,302,5.5
11,302,5.5
12,302,5.5
13,303,5.4
14,303,5.4
15,303,5.4
16,302,5.4
17,302,5.5
18,302,5.5
19,302,5.5
20,303,5.5
21,304,5.5
22,304,5.4
23,303,5.4
24,303,5.4
25,303,5.4
26,303,5.4
27,303,5.4
28,303,5.4
29,303,5.4
30,303,5.4
31,302,5.5
32,302,5.5
33,303,5.5
34,302,5.5
35,303,5.5
36,302,5.4
37,302,5.5
38,302,5.5
39,302,5.5
40,302,5.5
41,302,5.5
42,302,5.5
43,302,5.5
44,303,5.4
45,303,5.4
46,303,5.4
47,303,5.4
48,304,5.3
49,304,5.4
50,303,5.4
51,303,5.4
52,303,5.5
53,303,5.5
54,302,5.5
55,303,5.5
56,303,5.5
57,303,5.4
58,303,5.5
59,303,5.5
60,303,5.5
61,302,5.4
62,302,5.5
63,302,5.5
64,302,5.5
65,302,5.5
66,302,5.5
67,302,5.5
68,302,5.5
69,302,5.5
70,302,5.5
71,302,5.5
72,302,5.5
73,302,5.5
74,302,5.6
75,301,5.6
76,302,5.6
77,302,5.5
78,302,5.5
79,303,5.5
80,302,5.5
81,302,5.5
82,302,5.5
83,302,5.5
84,303,5.5
85,303,5.5
86,303,5.5
87,303,5.5
88,303,5.5
89,302,5.5
90,302,5.5
91,302,5.5
92,302,5.5
93,302,5.6
94,301,5.6
95,302,5.6
96,302,5.6
97,302,5.5
98,302,5.5
99,302,5.5
100,303,5.5
101,303,5.4
102,303,5.5
103,303,5.5
104,303,5.5
105,303,5.5
106,302,5.5
107,302,5.5
108,302,5.5
109,302,5.5
110,302,5.5
111,303,5.5
112,303,5.4
113,303,5.4
114,303,5.4
115,303,5.4
116,303,5.4
117,303,5.5
118,302,5.5
119,302,5.5
120,302,5.5
121,302,5.5
122,302,5.5
123,303,5.4
124,302,5.5
125,302,5.5
126,303,5.5
127,303,5.5
128,302,5.5
129,303,5.5
130,303,5.5
131,302,5.5
132,302,5.5
133,302,5.5
